,Date,Startup,Vertical,SubVertical,City,Investor,Type,Amount in cr,month,year
0,2020-01-09,byjus,e_tech,E-learning,bengaluru,Tiger Global Management,Private Equity Round,1700.0,1,2020
1,2020-01-13,shuttl,transportation,App based shuttle service,gurgaon,Susquehanna Growth Equity,Series C,68.411349,1,2020
2,2020-01-09,mamaearth,e_commerce,Retailer of baby and toddler products,bengaluru,Sequoia Capital India,Series B,156.05031,1,2020
3,2020-01-02,wealthbucket,fintech,Online Investment,delhi,Vinod Khatumal,Pre-series A,25.5,1,2020
4,2020-01-02,fashor,fashion_and_apparel,Embroiled Clothes For Women,mumbai,Sprout Venture Partners,Seed Round,15.3,1,2020
5,2020-01-13,pando,logistics,"Open-market, freight management platform",chennai,Chiratae Ventures,Series A,76.5,1,2020
6,2020-01-10,zomato,hospitality,Online Food Delivery Platform,gurgaon,Ant Financial,Private Equity Round,1275.0,1,2020
7,2019-12-12,ecozen,technology,Agritech,pune,Sathguru Catalyzer Advisors,Series A,51.0,12,2019
8,2019-12-06,cardekho,e_commerce,Automobile,gurgaon,Ping An Global Voyager Fund,Series D,595.0,12,2019
9,2019-12-03,dhruva_space,aerospace,Satellite Communication,bengaluru,Mumbai Angels,Seed,425.0,12,2019
10,2019-12-03,dhruva_space,aerospace,Satellite Communication,bengaluru, Ravikanth Reddy,Seed,425.0,12,2019
11,2019-12-13,rivigo,technology,Logistics Services and Solutions,gurgaon,SAIF Partners,Series F,170.0,12,2019
12,2019-12-13,rivigo,technology,Logistics Services and Solutions,gurgaon, Spring Canter Investment Ltd.,Series F,170.0,12,2019
13,2019-12-17,healthians,b2b_focused_foodtech_startup,Food Solutions For Corporate,bengaluru,Paytm,Series C,102.0,12,2019
14,2019-12-17,healthians,b2b_focused_foodtech_startup,Food Solutions For Corporate,bengaluru, NPTK,Series C,102.0,12,2019
15,2019-12-17,healthians,b2b_focused_foodtech_startup,Food Solutions For Corporate,bengaluru, Sabre Partners and Neoplux,Series C,102.0,12,2019
16,2019-12-16,licious,e_commerce,Online Meat And Seafood Ordering Startup,bengaluru,Vertex Growth Fund,Series E,255.0,12,2019
17,2019-12-16,incred,finance,Non-Banking Financial Company,mumbai,Undisclosed,Debt Funding,50.15,12,2019
18,2019-12-14,trell,video,Experience Discovery Platform,bengaluru,Ruizheng Investment,Seed Round,17.0,12,2019
19,2019-12-11,rein_games,gaming,Real money based gaming startup,noida,Manipal Education and Medical Group (MEMG),Seed Round,425.0,12,2019
20,2019-12-20,lenskartcom,e_commerce,Online Eyewear Shopping Portal,faridabad,SoftBank Vision Fund,Series G,1963.5,12,2019
21,2019-11-13,freshworks,software,Business and customer engagement tools,sanfrancisco,Sequoia,Series H,1275.0,11,2019
22,2019-11-13,freshworks,software,Business and customer engagement tools,sanfrancisco, CapitalG,Series H,1275.0,11,2019
23,2019-11-13,freshworks,software,Business and customer engagement tools,sanfrancisco, Accel,Series H,1275.0,11,2019
24,2019-11-14,misters,health_and_wellness,Men's Health and Wellness brand,gurgaon,Sauce.vc,Series B,4.131,11,2019
25,2019-11-14,misters,health_and_wellness,Men's Health and Wellness brand,gurgaon, Rainforest Ventures,Series B,4.131,11,2019
26,2019-11-13,sunstone_eduversity_pvt_ltd,education,Elearning,gurgaon,Prime Venture Partners,Seed,12.75,11,2019
27,2019-11-13,sunstone_eduversity_pvt_ltd,education,Elearning,gurgaon, LetsVenture,Seed,12.75,11,2019
28,2019-11-13,sunstone_eduversity_pvt_ltd,education,Elearning,gurgaon, PS1 Venture and GlobalLogic co-founder Rajul Garg,Seed,12.75,11,2019
29,2019-11-18,healthians,health_and_wellness,Healthcare services,gurgaon,DG Daiwa Ventures,Series B,102.0,11,2019
30,2019-11-18,healthians,health_and_wellness,Healthcare services,gurgaon, DG Incubation,Series B,102.0,11,2019
31,2019-11-15,ninjacart,b2b_marketing,Agritech,bengaluru,Trifecta Capital Advisors,Debt Funding,221.0,11,2019
32,2019-11-20,aye_finance,fintech,Financial Services To MSMEs,gurgaon,FinTech,Debt Funding,147.9957525,11,2019
33,2019-11-12,supergaming,video_games,Social gaming platform,pune,Dream Incubator,Seed Funding,11.05,11,2019
34,2019-11-20,clumio,saas,Recovery software,sanjoseOR,Altimeter Capital,Series C,1147.5,11,2019
35,2019-11-20,clumio,saas,Recovery software,sanjoseOR, Sutter Hill Ventures,Series C,1147.5,11,2019
36,2019-11-11,ebikego,last_mile_transportation,Electric bike rental,amritsar,Startup Buddy,Seed,2.55,11,2019
37,2019-11-19,digital_mall_asia,e_commerce,Virtual e-commerce platform,delhi,Amour Infrastructure,Seed Funding,1870.0,11,2019
38,2019-11-18,medikabazaar,healthcare,B2B platform for medical supplies,mumbai,Ackermans & van Haaren,Series B,134.3,11,2019
39,2019-11-18,medikabazaar,healthcare,B2B platform for medical supplies,mumbai, HealthQuad,Series B,134.3,11,2019
40,2019-11-18,medikabazaar,healthcare,B2B platform for medical supplies,mumbai, Rebright Partners,Series B,134.3,11,2019
41,2019-11-18,medikabazaar,healthcare,B2B platform for medical supplies,mumbai, Toppan Printing,Series B,134.3,11,2019
42,2019-11-15,vogo_automotive,last_mile_transportation,Scooter sharing app,kormangala,Matrix Partners,Series B,2405.5,11,2019
43,2019-11-15,vogo_automotive,last_mile_transportation,Scooter sharing app,kormangala, Stellaris Venture Partners,Series B,2405.5,11,2019
44,2019-11-15,vogo_automotive,last_mile_transportation,Scooter sharing app,kormangala, Kalaari Capital,Series B,2405.5,11,2019
45,2019-11-25,paytm,fintech,Mobile Wallet,noida,Vijay Shekhar Sharma,Funding Round,8500.0,11,2019
46,2019-10-04,dunzo,customer_service,Delivery Service,bengaluru,Lightbox,Series D,382.5,10,2019
47,2019-10-02,udaan,b2b,Business development,bengaluru,Altimeter Capital,Series D,4972.5,10,2019
48,2019-10-02,udaan,b2b,Business development,bengaluru, DST Global,Series D,4972.5,10,2019
49,2019-09-05,fpl_technologies,fintech,Financial Services,pune,Matrix Partners India,Maiden Round,38.25,9,2019
50,2019-09-05,fpl_technologies,fintech,Financial Services,pune, Sequoia India,Maiden Round,38.25,9,2019
51,2019-09-04,cashflo,fintech,Invoice discounting platform and SME lending marketplace,mumbai,SAIF Partners,Series A,28.05,9,2019
52,2019-09-04,digital_f5,advertising_marketing,Digital marketing firm,mumbai,TIW Private Equity,Private Equity Round,51.0,9,2019
53,2019-09-04,3rdflix,saas,Education Technology,hyderabad,Exfinity Venture Partners,pre-series A,42.5,9,2019
54,2019-09-04,75f,iot,Building automation system,burnsville,Breakthrough Energy Ventures,Series A,153.0,9,2019
55,2019-09-04,myelin_foundry,information_technology,Deep-technology,bengaluru,Endiya Partners,Seed,8.5,9,2019
56,2019-09-04,atomberg_technology,consumer_technology,"Consumer Electronics, Home Appliances",mumbai,A91 Partners,Series A,85.0,9,2019
57,2019-09-04,goqii,health_and_wellness,Wearable Fitness Bands,menlopark,Bennett Coleman and Company Ltd (BCCL),Series C,3825.0,9,2019
58,2019-09-03,vyapar_app,accounting,Mobile-based Accounting Software,bengaluru,India Quotient,Series A,42.5,9,2019
59,2019-09-03,vyapar_app,accounting,Mobile-based Accounting Software,bengaluru, Axilor Ventures,Series A,42.5,9,2019
60,2019-08-01,cardekho,e_commerce,Automotive,gurgaon,SC GG India Mobility Holdings LLC,Series C,170.0,8,2019
61,2019-08-01,progcap,finance,Supply Chain Management,delhi,Sequoia India,Series A,42.5,8,2019
62,2019-08-01,mypetrolpump,retail,Fuel Delivery,bengaluru,Undisclosed,Seed Funding Round,13.6,8,2019
63,2019-08-01,alteria_capital,finance,VC Funds,mumbai,Azim Premji,Single Venture,1190.0,8,2019
64,2019-08-01,alteria_capital,finance,VC Funds,mumbai, Binny Bansal,Single Venture,1190.0,8,2019
